City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,dunedin,-45.8742,170.5036,19.48,53,77,3.36,NZ,1683034550
146,hozat,39.1083,39.2213,10.73,36,32,5.61,TR,1683034550
147,kone,-21.0595,164.8658,23.48,91,82,1.81,NC,1683034550
148,brookings,44.3114,-96.7984,5.03,70,0,6.17,US,1683034550
149,nouadhibou,20.931,-17.0347,26.99,50,66,5.66,MR,1683034550
150,pimenta bueno,-11.6725,-61.1936,28.67,71,13,1.17,BR,1683034551
151,zhangjiakou,40.81,114.8794,20.95,37,41,3.17,CN,1683034551
152,tolanaro,-25.0319,46.9987,24.04,53,40,4.12,MG,1683034551
153,chibougamau,49.9168,-74.3659,4.79,87,100,3.6,CA,1683034346
154,rehoboth,-23.3167,17.0833,24.52,35,86,8.24,NA,1683034551
155,ha'il,27.5219,41.6907,31.01,15,0,2.06,SA,1683034552
156,saipan,15.1355,145.701,27.39,100,40,5.14,MP,1683034552
157,preobrazheniye,42.9019,133.9064,8.47,64,100,3.66,RU,1683034552
158,kangding,30.0513,101.9603,11.76,94,90,2.27,CN,1683034552
159,san antonio de pale,-1.4014,5.6325,27.92,75,100,2.85,GQ,1683034552
160,broken hill,-31.95,141.4333,15.08,54,0,2.63,AU,1683034553
161,ribeira brava,32.65,-17.0667,27.06,60,2,2.59,PT,1683034553
162,breyten,-26.3018,29.987,17.26,60,99,3.73,ZA,1683034425
163,coxim,-18.5067,-54.76,28.34,60,1,2.32,BR,1683034553
164,longyearbyen,78.2186,15.6401,-10.09,52,0,2.57,SJ,1683034553
165,tromso,69.6496,18.957,-0.35,69,100,8.23,NO,1683034297
166,chudovo,59.1167,31.6833,14.67,47,100,7.26,RU,1683034554
167,tadine,-21.55,167.8833,24.73,87,60,4.15,NC,1683034554
168,amol,36.4696,52.3507,16.72,80,79,1.51,IR,1683034554
169,coquimbo,-29.9533,-71.3436,12.85,82,0,2.06,CL,1683034275
170,qaqortoq,60.7167,-46.0333,3.56,57,100,0.92,GL,1683034554
171,flying fish cove,-10.4217,105.6791,24.82,100,5,0.0,CX,1683034555
172,kailua-kona,19.6406,-155.9956,23.98,84,75,3.09,US,1683034555
